symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
CREAMUSDT,0.83,65.354,1.49987134,0.0,2.1,184081.172,276098.07379,2.25,1.22,4001
PNTUSDT,0.0109,45.228,0.02429351,0.0,0.035,10778397.0,261845.0621,0.035,0.0215,4001
ASRUSDT,0.857,27.035,3.33812852,3.171,4.027,6495532.0,21682920.6042,4.2,2.97,180881
QTUMUSDT,0.296,14.683,2.23100941,2.018,2.312,8599147.3,19184778.5335,2.436,1.979,117472
CLVUSDT,0.0036,13.97,0.02607296,0.0,0.02937,13386084.7,349014.844454,0.03082,0.02062,4001
MDXUSDT,0.00411,13.524,0.03503868,0.0,0.0345,8965485.1,314138.785907,0.0383,0.02917,4001
SCRUSDT,0.043,11.978,0.407689,0.359,0.402,24877925.1,10142456.4803,0.434,0.35,75989
WAVESUSDT,0.115,11.967,1.00823853,0.0,1.076,435097.68,438682.24606,1.082,0.951,4001
NEOUSDT,0.63,10.448,6.44232716,6.02,6.66,4452683.99,28685647.00429,6.85,5.92,141061
MEMEUSDT,0.000245,10.26,0.00273026,0.002387,0.002633,30788077291.0,84059602.93678,0.003023,0.00226,698794
BBUSDT,0.0099,8.839,0.1228298,0.1118,0.1219,83109715.5,10208349.67262,0.1299,0.1093,107925
ELFUSDT,0.0184,8.812,0.21788229,0.0,0.2272,2922677.5,636799.68008,0.2374,0.203,4001
RENUSDT,0.00334,8.477,0.0419141,0.0,0.04274,11361461.0,476205.42629,0.04346,0.0391,4001
ADADOWNUSDT,0.000149,8.428,0.00190401,0.0,0.001917,340525452.4,648364.02209361,0.00215,0.001756,4001
GTCUSDT,0.026,7.903,0.35310167,0.329,0.355,15443911.1,5453270.8102,0.392,0.314,32082
JUVUSDT,0.105,7.895,1.3529876,1.328,1.435,2513023.89,3400090.17217,1.449,1.292,23470
ERNUSDT,0.117,5.663,2.15018139,0.0,2.183,297375.7,639411.6946,2.21,2.049,4001
PLAUSDT,0.0123,5.531,0.22889644,0.0,0.2347,3506608.82,802650.287482,0.238,0.222,4001
OGUSDT,0.692,5.348,13.11135581,12.94,13.632,464938.3,6095971.4814,13.778,12.809,134427
BIOUSDT,0.0074,5.347,0.15327258,0.1387,0.1458,727550451.7,111513535.33702,0.1748,0.138,537396
