symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
ASRUSDT,0.533,17.166,3.56816855,3.106,3.638,11305991.2,40341682.224,4.2,3.057,308777
API3USDT,0.1869,13.783,1.53510979,1.357,1.5429,37482526.42,57539793.407704,1.7088,1.328,268292
QTUMUSDT,0.245,11.722,2.29289735,2.09,2.335,9161823.2,21007120.1171,2.436,2.052,111681
BBUSDT,0.0129,11.346,0.12736039,0.1136,0.1266,168351751.9,21441344.76447,0.138,0.1121,182033
SCRUSDT,0.033,8.871,0.41051889,0.373,0.405,26202729.5,10756715.369,0.434,0.371,80408
JUVUSDT,0.106,8.012,1.38964158,1.323,1.429,5072295.44,7048672.65163,1.467,1.296,44287
NEOUSDT,0.459,7.251,6.64454919,6.32,6.789,2976358.15,19776558.12437,6.928,6.16,120003
BANDUSDT,0.056,7.245,0.85836867,0.773,0.829,22891088.1,19648992.7611,0.94,0.753,98614
PHAUSDT,0.0057,5.026,0.11846889,0.1134,0.1191,67413308.0,7986379.9125,0.123,0.1115,65189
GTCUSDT,0.015,4.587,0.35578649,0.327,0.342,17205818.6,6121597.7748,0.392,0.326,35690
PORTOUSDT,0.044,3.877,1.16916312,1.133,1.179,1652707.88,1932285.10629,1.242,1.117,16350
LAUSDT,0.0129,3.711,0.35782767,0.3478,0.3605,9770671.5,3496216.62198,0.3706,0.3416,33727
GASUSDT,0.118,3.556,3.42833633,3.317,3.436,1565338.4,5366506.5011,3.528,3.311,37335
JSTUSDT,0.00109,3.296,0.0340254,0.03306,0.03416,55852107.0,1900390.355244,0.03458,0.03307,6816
SANTOSUSDT,0.069,3.024,2.32784078,2.282,2.351,1809839.3,4213017.72965,2.413,2.253,33288
ONGUSDT,0.0048,2.805,0.17632211,0.171,0.1759,11882526.0,2095152.0132,0.1808,0.1702,23915
LAZIOUSDT,0.027,2.567,1.07573876,1.05,1.079,1379885.42,1484396.22475,1.12,1.04,10667
UMAUSDT,0.036,2.517,1.4509726,1.429,1.466,7335558.7,10643694.6536,1.54,1.377,67425
ZECUSDT,0.94,2.44,38.78351266,38.53,39.47,106077.06,4114040.99917,40.2,37.7,20524
AAVEUSDT,6.82,2.349,298.11456316,290.27,297.1,144608.447,43109884.00648,305.21,290.28,224769
