symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
QTUMUSDT,0.218,10.192,2.32260275,2.138,2.357,10814481.9,25117745.3914,2.456,2.113,131022,8.61
BANDUSDT,0.028,3.487,0.86262852,0.803,0.831,22077865.7,19044996.7199,0.94,0.795,96209,6.71
NEOUSDT,0.58,9.28,6.70426116,6.25,6.83,3291589.0,22067672.29028,6.947,6.23,130172,4.15
API3USDT,0.2129,15.506,1.54442341,1.372,1.5859,40268737.17,62191980.568731,1.7088,1.364,303916,4.03
MEMEUSDT,-0.000346,-11.658,0.00276367,0.002969,0.002622,16705879485.0,46169556.329292,0.003023,0.002498,413734,3.79
BBUSDT,0.0095,8.225,0.12759115,0.1155,0.125,179923084.6,22956593.57471,0.138,0.1152,198130,3.54
AEURUSDT,0.0075,0.68,1.11362638,1.1028,1.1104,41074394.1,45741528.8841,1.1213,1.095,11663,3.3
PHAUSDT,0.004,3.497,0.11912548,0.1142,0.1184,69973006.0,8335567.6184,0.123,0.1115,70041,3.15
SCRUSDT,0.008,2.057,0.41248526,0.389,0.397,25186174.2,10388925.6251,0.434,0.388,75763,3.08
ASRUSDT,0.269,8.581,3.56958975,3.132,3.404,12510094.1,44655903.6812,4.2,3.061,344604,2.9
OGNUSDT,-0.0063,-7.836,0.07907888,0.0804,0.0741,125290757.0,9907852.3614,0.0841,0.0737,34376,2.35
UMAUSDT,0.032,2.236,1.45474273,1.432,1.463,7835714.2,11398948.2357,1.54,1.377,72189,2.3
TWTUSDT,0.0018,0.236,0.77309244,0.7635,0.7659,2890256.0,2234435.0714,0.7959,0.7572,33104,2.29
TRBUSDT,-1.28,-3.494,36.77735721,36.62,35.35,225020.73,8275667.76733,38.16,35.04,65249,2.17
ONGUSDT,0.0019,1.096,0.17666848,0.1734,0.1753,13186561.0,2329649.6523,0.1808,0.1713,22225,2.08
ZECUSDT,0.67,1.707,39.0492016,39.22,39.91,107152.484,4184218.94936,40.56,37.7,20832,2.06
TUTUSDT,-0.00549,-8.455,0.06086861,0.06496,0.05944,92279341.0,5616915.20169,0.065,0.05537,58893,2.06
DCRUSDT,-0.42,-2.473,16.85093197,17.0,16.56,30578.332,515273.39229,17.23,16.36,11020,1.9
ATAUSDT,-0.0019,-3.893,0.0489858,0.0487,0.0469,23223910.0,1137641.8953,0.0512,0.0465,10274,1.89
GASUSDT,0.074,2.202,3.43746164,3.359,3.434,1583805.3,5444269.9677,3.528,3.338,37746,1.75
