symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
CVXUSDC,0.189,4.709,4.17854364,4.034,4.203,40625.914,169757.154493,4.449,3.831,709,Spot Only,3.57
USDPUSDT,0.0001,0.01,0.99994638,1.0001,1.0002,620242.0,620208.7413,1.0004,0.9994,1295,Spot Only,2.58
BBUSDC,0.0258,19.154,0.16201996,0.1348,0.1605,23368743.2,3786202.74087,0.18,0.1314,21709,Spot Only,1.8
KAITOUSDT,0.0984,9.142,1.1320032,1.0764,1.1747,5929685.1,6712422.48389,1.1955,1.0585,150173,Spot Only,1.22
BBUSDT,0.0258,19.154,0.15885493,0.1347,0.1605,237938314.7,37797675.17169,0.18,0.131,351611,Spot Only,1.13
OPFDUSD,0.0602,8.363,0.76315364,0.7208,0.78,900162.9,686962.595658,0.8059,0.6882,5824,Spot Only,1.12
JTOFDUSD,0.156,8.749,1.85327098,1.785,1.939,174308.2,323040.3281,1.991,1.678,2350,Spot Only,0.99
HIFIUSDT,0.0009,0.941,0.09539751,0.0957,0.0965,16680176.0,1591247.3236,0.0982,0.0902,25502,Spot Only,0.97
USUALUSDT,0.0086,13.07,0.07167852,0.0658,0.0744,118807326.0,8515932.81216,0.0781,0.0627,73587,Spot Only,0.92
HAEDALUSDT,0.0086,6.897,0.12858237,0.1248,0.1333,17113219.5,2200458.27814,0.1349,0.1186,23182,Spot Only,0.8
JTOUSDC,0.157,8.835,1.84370022,1.778,1.934,621433.8,1145737.6352,1.985,1.672,14564,Spot Only,0.79
RLCUSDT,0.052,5.149,1.04954016,1.013,1.062,1901131.8,1995314.1725,1.104,0.953,23253,Spot Only,0.77
ZILUSDT,0.00064,5.575,0.01187205,0.01149,0.01212,278024897.4,3300724.40556,0.0123,0.01106,33402,Spot Only,0.74
USUALUSDC,0.0085,12.918,0.07125552,0.0659,0.0743,13563531.7,966476.49315,0.0781,0.0628,4924,Spot Only,0.66
COSUSDT,0.000185,5.448,0.00350871,0.003397,0.003581,546880293.0,1918846.1162814,0.00365,0.003297,28815,Spot Only,0.64
