symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct,last_volume,avg_volume
WINUSDT,3.37e-06,5.533,6.273e-05,6.09e-05,6.428e-05,10926008759.0,685436.17761152,6.442e-05,5.966e-05,19300,Spot Only,1167.3,42713.73619184,3370.48440763875
PORTOUSDT,0.032,2.812,1.15177987,1.136,1.17,1000363.77,1152198.85176,1.196,1.091,12056,Spot Only,910.0,45863.97673,4540.7668
AVAXUSDT,2.63,11.42,24.32897603,23.03,25.66,6214589.1,151194589.2686,25.9,22.19,447619,Spot Only,746.1,4960660.4274,586277.887275
BNBUSDT,46.69,5.508,880.35473943,847.69,894.38,459155.8807,404220055.709275,900.71,842.7,1939465,Spot Only,484.7,11448425.54778,1957931.54541
BNBTUSD,47.5,5.593,880.93966639,849.48,896.81,637.39,561502.13396,900.81,846.44,1108,Spot Only,458.7,28312.77445,5067.6080375
PSGUSDT,0.03,1.694,1.78629645,1.771,1.801,663912.67,1185944.8462,1.834,1.709,14343,Spot Only,362.7,21283.03161,4599.820165
KSMUSDT,1.5,10.366,15.49217079,14.46,15.97,232722.497,3605376.67104,16.25,13.93,36535,Spot Only,332.5,78974.86248,18258.8936575
FISUSDT,0.004,3.398,0.12075091,0.1177,0.1217,12764424.0,1541315.8678,0.124,0.1151,114462,Spot Only,319.1,40322.5442,9621.8528875
MOVRUSDT,0.426,6.75,6.5714769,6.311,6.737,305383.543,2006820.897115,6.887,6.014,42208,Spot Only,308.9,20453.145963,5001.657987625
BNBUSDC,46.1,5.437,880.01870488,847.79,893.96,231151.57,203417705.26337,899.99,842.5,475830,Spot Only,303.7,3541274.47996,877111.26385375
STORJUSDT,0.018,7.045,0.26693482,0.2549,0.2735,6222957.0,1661123.918,0.2794,0.2468,20256,Spot Only,297.4,15114.0259,3803.1189625
YGGUSDT,0.0189,12.329,0.16940744,0.1532,0.1722,57762515.5,9785399.75079,0.1808,0.1459,78238,Spot Only,279.0,49580.03322,13080.362975
TFUELUSDT,0.00151,4.39,0.03583668,0.0344,0.03591,28741676.0,1030006.36315,0.03719,0.0336,14122,Spot Only,234.7,16007.2691,4783.18766375
BCHUSDC,29.5,5.263,589.80862245,560.7,590.0,10229.035,6033173.0423,607.7,550.5,29351,Spot Only,215.8,52458.1386,16609.3988
JSTUSDT,0.00188,5.629,0.03449382,0.03339,0.03528,102401340.5,3532213.850748,0.0358,0.03276,14120,Spot Only,188.3,36955.598352,12819.2883265
