symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
BETAUSDT,-0.00064,-64.0,0.00065278,0.0,0.00036,453655672.0,296136.47499,0.0011,0.00031,4001
VIBUSDT,-0.00384,-63.262,0.0044606,0.0,0.00223,85327486.0,380611.67365,0.007,0.0018,4001
WTCUSDT,-0.0134,-56.54,0.0168344,0.0,0.0103,28831218.0,485356.1247,0.024,0.01,4001
HARDUSDT,-0.0064,-40.252,0.01197211,0.0,0.0095,11528516.0,138020.6777,0.0159,0.0088,4001
BURGERUSDT,-0.0069,-28.631,0.02078516,0.0,0.0172,10439094.1,216978.21736,0.0255,0.0166,4001
PROSUSDT,-0.013,-25.896,0.04298156,0.0,0.0372,2618284.0,112537.9207,0.052,0.035,4001
FIROUSDT,-0.1,-25.0,0.34380955,0.0,0.3,1208885.8,415626.4836,0.56,0.255,4001
OOKIUSDT,-3.9e-05,-24.684,0.00013176,0.0,0.000119,5406517123.0,712370.498025,0.000163,0.000116,4001
VITEUSDT,-0.00028,-24.561,0.00098924,0.0,0.00086,236768977.4,234222.031484,0.00116,0.0008,4001
EPXUSDT,-6.3e-06,-24.514,2.141e-05,0.0,1.94e-05,14958973905.0,320257.9910375,2.86e-05,1.7e-05,4001
TROYUSDT,-2.1e-05,-23.333,8.947e-05,0.0,6.9e-05,1612739544.0,144294.082243,0.000105,6.1e-05,4001
CVPUSDT,-0.0103,-23.303,0.04163014,0.0,0.0339,10302989.3,428914.93213,0.049,0.0328,4001
WINGUSDT,-0.099,-23.294,0.36860075,0.0,0.326,906940.49,334298.94935,0.456,0.291,4001
UFTUSDT,-0.0027,-23.276,0.01000996,0.0,0.0089,10771660.0,107823.8976,0.0121,0.0086,4001
OAXUSDT,-0.0098,-21.491,0.04227803,0.0,0.0358,4783896.0,202253.7149,0.0489,0.0356,4001
PERLUSDT,-0.00119,-20.553,0.00534663,0.0,0.0046,67198312.8,359284.384562,0.00585,0.00453,4001
VIDTUSDT,-0.00027,-19.014,0.00123776,0.0,0.00115,148266713.0,183519.31426,0.00151,0.00105,4001
DREPUSDT,-0.0057,-18.211,0.02898296,0.0,0.0256,13959700.0,404593.4049,0.0333,0.025,4001
LEVERUSDT,-3.6e-05,-17.062,0.0001894,0.0,0.000175,2049068736.0,388103.817578,0.000217,0.000162,4001
FORUSDT,-0.00062,-16.848,0.00328984,0.0,0.00306,112283124.0,369393.67526,0.00372,0.003,4001
