symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
HYPERUSDT,-0.0489,-13.17,0.34881436,0.3711,0.3224,16157784.7,5636067.31711,0.3756,0.3224,45417
TSTUSDT,-0.00308,-10.287,0.02842289,0.02994,0.02686,139605707.7,3967998.072564,0.03035,0.02636,38427
EPICUSDT,-0.308,-10.162,2.7894049,3.032,2.723,3630152.2,10125964.3208,3.083,2.61,82414
VIRTUALUSDT,-0.1213,-9.335,1.24183116,1.2992,1.1781,14281091.5,17734704.40404,1.3019,1.1773,175342
OGNUSDT,-0.0068,-8.333,0.07950775,0.0817,0.0748,136446163.0,10848527.0149,0.0841,0.0742,37272
MEMEUSDT,-0.000226,-7.977,0.00279991,0.002834,0.002607,22180409382.0,62103073.13321,0.003023,0.002498,521764
CTSIUSDT,-0.0068,-7.763,0.08485983,0.0875,0.0808,22161501.0,1880621.1986,0.088,0.0804,15577
KAITOUSDT,-0.0867,-7.535,1.12427618,1.1506,1.0639,5769775.3,6486820.95199,1.1607,1.0621,176173
CYBERUSDT,-0.17,-7.469,2.2044046,2.273,2.106,1912734.28,4216440.23661,2.298,2.103,27304
REQUSDT,-0.0111,-7.346,0.14645879,0.1512,0.14,3938849.0,576879.0683,0.152,0.1399,12795
STGUSDT,-0.0127,-7.001,0.17503114,0.1814,0.1687,16735793.5,2929285.01857,0.182,0.1687,15654
MAVUSDT,-0.00394,-6.907,0.05685721,0.05703,0.0531,160520616.0,9126753.73523,0.0597,0.05281,115183
REZUSDT,-0.00092,-6.815,0.01309301,0.0135,0.01258,262612948.3,3438393.642867,0.01363,0.01247,21432
SXTUSDT,-0.0053,-6.769,0.07578003,0.0783,0.073,16581138.5,1256519.25578,0.0789,0.0728,10740
TOWNSUSDT,-0.00183,-6.74,0.02636086,0.02714,0.02532,262960228.0,6931858.39064,0.02737,0.02526,54980
FISUSDT,-0.0084,-6.688,0.12266741,0.1256,0.1172,11003288.0,1349744.8858,0.1273,0.1171,11164
PROVEUSDT,-0.0775,-6.635,1.13286028,1.168,1.0906,13504660.8,15298893.79683,1.1849,1.0849,124601
GUNUSDT,-0.00175,-6.599,0.02580575,0.0265,0.02477,76483813.0,1973722.0562,0.02691,0.02477,20375
EIGENUSDT,-0.09,-6.593,1.32738059,1.365,1.275,5859644.1,7777977.83906,1.372,1.275,35437
STRKUSDT,-0.009,-6.545,0.13439191,0.1374,0.1285,50331420.76,6764135.687684,0.1402,0.1284,36535
