symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HUMAUSDT,-0.00209,-6.921,0.02867133,0.03016,0.02811,516288882.0,14802691.00888,0.03032,0.02745,148863,2.58
HUMAUSDC,-0.00208,-6.89,0.0287981,0.03019,0.02811,39497964.0,1137466.3044,0.03029,0.0275,14926,3.38
SANTOSUSDT,-0.095,-4.232,2.20218221,2.245,2.15,3786451.08,8338455.19009,2.276,2.126,70752,1.0
HFTUSDT,-0.0036,-3.996,0.08761749,0.0901,0.0865,61158553.9,5358558.94739,0.0931,0.0816,38594,0.8
ASRUSDT,-0.126,-3.75,3.3105969,3.364,3.234,4534349.1,15011402.0893,3.521,3.163,120904,1.0
API3USDC,-0.0567,-3.693,1.51440161,1.5321,1.4786,1243333.84,1882906.764629,1.6,1.4364,13470,0.99
API3USDT,-0.053,-3.455,1.50877884,1.5346,1.481,13901160.66,20973777.019762,1.6016,1.4357,145704,0.93
PROMUSDT,-0.291,-3.152,9.01104779,9.237,8.941,445560.0,4014962.45198,9.388,8.694,134004,1.66
MKRUSDC,-39.7,-2.421,1637.83657557,1639.6,1599.9,430.0863,704411.07279,1753.0,1503.3,3991,1.76
MKRUSDT,-35.5,-2.165,1647.18674251,1640.0,1604.5,11509.2429,18957872.3212,1786.0,1506.0,227195,2.3
FORMUSDC,-0.072,-2.021,3.54871316,3.563,3.4909,50674.7,179829.97486,3.6394,3.4667,1080,1.47
FORMUSDT,-0.0714,-2.004,3.55685973,3.5621,3.4906,941569.1,3349029.21599,3.641,3.4739,79901,1.15
OGNUSDT,-0.0013,-1.736,0.07522075,0.0748,0.0736,45408124.0,3415633.2732,0.078,0.0712,19266,0.6
JUVUSDT,-0.024,-1.675,1.41033498,1.432,1.409,3121956.91,4403005.03114,1.447,1.379,28975,0.42
EPICUSDC,-0.042,-1.516,2.79528568,2.773,2.728,359249.9,1004206.1001,2.955,2.663,8308,0.67
