symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDC,-0.00225,-7.428,0.02878999,0.03025,0.02804,39669559.0,1142086.03625,0.03029,0.0275,15059,Spot Only,1.48
HUMAUSDT,-0.0022,-7.27,0.0286648,0.03026,0.02806,520656737.0,14924523.13965,0.03032,0.02745,150221,Spot Only,0.97
SANTOSUSDT,-0.112,-4.971,2.20017009,2.254,2.141,3897345.91,8574823.90254,2.276,2.126,71788,Spot Only,0.72
HFTUSDT,-0.0044,-4.819,0.0870806,0.0913,0.0869,53951613.8,4698139.08642,0.0913,0.0816,34647,Spot Only,0.59
PROMUSDT,-0.303,-3.269,9.00875199,9.266,8.965,447824.88,4034343.28077,9.388,8.694,134036,Spot Only,1.57
API3USDT,-0.0444,-2.91,1.5083015,1.526,1.4812,13709100.86,20677457.454676,1.6016,1.4357,144523,Spot Only,0.38
ASRUSDT,-0.095,-2.838,3.308277,3.348,3.252,4452236.1,14729230.284,3.521,3.163,119676,Spot Only,0.75
API3USDC,-0.0418,-2.743,1.51412383,1.5263,1.482,1228438.8,1860008.46252,1.6,1.4364,13299,Spot Only,1.67
MKRUSDC,-39.3,-2.39,1637.7181593,1636.4,1604.8,414.7747,679284.05821,1753.0,1503.3,3894,Spot Only,0.84
MKRUSDT,-36.4,-2.215,1646.75774354,1644.4,1607.2,11560.1001,19036684.35582,1786.0,1506.0,227139,Spot Only,0.64
FORMUSDT,-0.0649,-1.822,3.5563004,3.5615,3.4967,939710.0,3341891.0496,3.641,3.4739,80023,Spot Only,0.42
FORMUSDC,-0.0531,-1.494,3.5485771,3.5623,3.5,50787.1,180221.94009,3.6394,3.4667,1084,Spot Only,0.01
OGUSDT,-0.155,-1.19,12.97859858,13.023,12.873,370869.6,4813367.6656,13.317,12.666,98419,Spot Only,1.19
SPKUSDC,-0.00078,-1.074,0.07405471,0.07259,0.07182,37925127.0,2808534.462045,0.0775,0.068776,42310,Spot Only,1.24
SPKUSDT,-0.000763,-1.051,0.07428485,0.072585,0.071827,200655934.0,14905696.605657,0.07754,0.068769,363040,Spot Only,0.59
