symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct,last_volume,avg_volume
HUMAUSDC,-0.00165,-5.524,0.02872023,0.02987,0.02822,41915063.0,1203810.26766,0.0301,0.0275,16035,Spot Only,-26.6,5587.32678,7615.79588
HUMAUSDT,-0.00161,-5.39,0.02863994,0.02987,0.02826,530256972.0,15186530.26473,0.0301,0.02745,154295,Spot Only,-16.1,68684.0606,81909.8434375
PROMUSDT,-0.335,-3.611,9.00050432,9.274,8.941,446334.36,4017234.33592,9.388,8.694,133317,Spot Only,-74.6,7033.15262,27647.26435375
ASRUSDT,-0.098,-2.948,3.30674246,3.328,3.226,4266498.5,14108211.7523,3.521,3.163,112810,Spot Only,153.1,258950.591,102314.9840875
API3USDT,-0.0415,-2.73,1.50680905,1.5197,1.4785,13447066.04,20262160.749419,1.6016,1.4357,141771,Spot Only,-74.6,37821.162654,149117.40854625
SANTOSUSDT,-0.061,-2.728,2.1980333,2.236,2.175,4035937.9,8871125.91614,2.276,2.126,73773,Spot Only,-51.9,45745.8194,95145.48631000001
API3USDC,-0.0404,-2.665,1.51212573,1.5197,1.4757,1249708.6,1889716.523095,1.6,1.4364,13108,Spot Only,-25.5,8855.00432,11879.450947375
FORMUSDC,-0.0667,-1.863,3.54601,3.5689,3.5132,54001.1,191488.44074,3.6394,3.4667,1169,Spot Only,646.8,7329.63898,981.4137925
JUVUSDC,-0.024,-1.687,1.41051092,1.422,1.399,101078.43,142572.22926,1.43,1.381,963,Spot Only,-99.4,5.00842,801.2569525
FORMUSDT,-0.0554,-1.55,3.55358424,3.5738,3.5185,950765.6,3378625.64842,3.641,3.4739,80697,Spot Only,512.6,95994.40739,15670.625554999999
JUVUSDT,-0.022,-1.547,1.40854089,1.422,1.4,2945982.35,4149536.60421,1.432,1.379,27771,Spot Only,13.4,32754.50536,28871.84901875
HFTUSDT,-0.0013,-1.474,0.08663087,0.0882,0.0869,44274274.5,3835518.73735,0.0904,0.0816,31435,Spot Only,-12.7,14704.95985,16850.46337
SOLVFDUSD,-0.00062,-1.381,0.04518289,0.04487,0.04427,4379268.0,197867.96861,0.04654,0.04398,2889,Spot Only,-35.2,2036.97761,3145.6909775
SOLVUSDT,-0.00061,-1.362,0.04509457,0.0448,0.04419,68863125.0,3105353.26498,0.04651,0.04384,38506,Spot Only,-82.0,9883.92816,54938.911866250004
OGUSDT,-0.085,-0.657,12.97626954,12.939,12.853,370802.4,4811631.8888,13.317,12.666,99670,Spot Only,211.0,55170.1481,17738.2789375
