symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0627,36.348,0.22475596,0.1722,0.2352,121179122.6,27235729.79454,0.265,0.172,217276,13.18
BANDUSDT,0.242,28.878,1.1237569,0.839,1.08,28195426.7,31684805.2062,1.342,0.814,184808,7.1
MEMEUSDT,0.001513,62.547,0.00345917,0.002419,0.003932,31784397830.0,109947674.95338,0.004305,0.002415,928703,6.35
AEURUSDT,0.0069,0.62,1.11988091,1.1132,1.1203,89346343.3,100057263.91791,1.1345,1.1002,26897,5.04
QTUMUSDT,0.42,19.152,2.53936029,2.193,2.613,7488569.2,19016175.2879,2.834,2.126,97259,4.78
BIOUSDT,0.0352,17.769,0.22545675,0.198,0.2333,1050457308.2,236832695.86137,0.2645,0.1821,952904,4.6
BOMEUSDT,0.000585,32.958,0.00209791,0.001775,0.00236,15111598334.0,31702800.697109,0.002461,0.001704,432649,4.53
BBUSDT,0.0182,13.275,0.15731009,0.1371,0.1553,249472276.8,39244506.39924,0.18,0.131,370675,4.5
BTTCUSDT,5e-08,7.576,6.8e-07,6.7e-07,7.1e-07,8025785271978.0,5494985.54273033,7.3e-07,6.5e-07,18454,4.32
PHAUSDT,0.0104,8.525,0.13105427,0.1221,0.1324,104316178.0,13671080.92,0.147,0.1137,134837,3.9
ETCUSDT,3.14,14.938,23.90325994,21.03,24.16,3420887.51,81770363.3784,25.52,20.53,380611,3.88
YGGUSDT,0.0193,12.631,0.16900556,0.1529,0.1721,57656122.6,9744205.34167,0.1808,0.1459,77637,3.87
SSVUSDT,1.666,19.586,9.7571315,8.507,10.172,1545390.307,15078576.445528,10.747,8.124,271093,3.23
FTTUSDT,-0.0018,-0.191,0.94301343,0.9413,0.9395,4425138.1,4172964.645806,0.975,0.9071,34564,2.89
DOGSUSDT,2.46e-05,18.981,0.0001423,0.0001297,0.0001542,39205936036.0,5578975.1855713,0.0001564,0.0001242,89275,2.86
BNSOLUSDT,25.7,13.159,211.06387212,195.3,221.0,42905.648,9055832.2029,223.1,189.7,19906,2.75
HUMAUSDT,-0.00143,-4.803,0.02868864,0.02976,0.02834,506951195.0,14543740.86581,0.03032,0.02745,146268,2.73
ZILUSDT,0.00074,6.44,0.01182262,0.01149,0.01223,284762371.4,3366637.12947,0.0123,0.01106,34513,2.7
ARBUSDT,0.0937,18.964,0.55434819,0.4941,0.5878,353612052.5,196024200.13396,0.6078,0.4741,554519,2.65
AXSUSDT,0.227,10.022,2.39380723,2.266,2.492,2816536.01,6742244.27231,2.52,2.173,65338,2.64
