symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
CYBERUSDC,0.154,7.146,2.30532916,2.166,2.309,164442.88,379094.96573,2.85,2.155,2030,Spot Only,79.34
STRKUSDT,0.0084,6.522,0.13558216,0.1288,0.1372,100154655.7,13579184.543986,0.1431,0.122,68483,Spot Only,12.94
XTZUSDC,0.0573,7.113,0.83999347,0.8063,0.8629,719748.7,604584.20858,0.8784,0.7747,3690,Spot Only,9.96
TUSDUSDT,0.0002,0.02,0.99850212,0.9982,0.9985,610219.0,609304.9659,0.999,0.9979,6860,Spot Only,9.83
STRKUSDC,0.0083,6.439,0.13386038,0.1289,0.1372,10675458.57,1429020.954289,0.1431,0.1221,13242,Spot Only,8.47
WIFFDUSD,0.066,7.765,0.88694763,0.852,0.916,625724.03,554984.4435,0.938,0.795,4114,Spot Only,8.31
KAIAUSDT,0.005,3.427,0.14882021,0.146,0.1509,30871074.5,4594239.77732,0.1557,0.14,40454,Spot Only,8.15
BTCTUSD,2591.7,2.285,115295.19074201,113448.41,115989.6,2.98177,343783.7408988,117555.92,111931.77,1456,Spot Only,7.99
GUSDT,0.00072,6.294,0.01170047,0.01144,0.01216,94385371.0,1104353.55091,0.01229,0.01099,17262,Spot Only,6.66
DUSDT,0.00219,6.691,0.03388788,0.03279,0.03492,23728757.0,804117.37485,0.03575,0.03095,15616,Spot Only,6.15
ACTUSDC,0.0059,14.937,0.04341734,0.0395,0.0454,12431655.1,539749.40051,0.0475,0.0377,4364,Spot Only,5.96
TOWNSFDUSD,0.00055,2.128,0.02589161,0.02595,0.0264,3877674.0,100399.22201,0.02731,0.02452,1169,Spot Only,5.93
EUREURI,0.0004,0.04,1.00021495,1.0002,1.0005,4723661.6,4724676.9644,1.0006,0.9999,13072,Spot Only,5.9
LPTUSDC,0.448,7.118,6.51096773,6.309,6.742,55181.95,359287.89594,6.876,6.019,3171,Spot Only,5.8
ETHTUSD,368.54,8.472,4658.59858758,4350.57,4718.82,117.4878,547328.499138,4889.73,4218.12,2257,Spot Only,5.45
