symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used,is_bullish
BOMEUSDC,27.932,0.002258,4834546.212178,29228,Spot Only,0.0026,0.001705,539.5,227511.959581,35579.2294865,2,True
ENAUSDC,15.169,0.7433,74070627.726074,200658,Spot Only,0.7744,0.6219,236.0,637435.838308,189684.9482825,2,False
RAYUSDC,11.229,3.556,10193673.2505,43597,Spot Only,3.714,3.102,229.7,78049.2033,23670.83785,2,False
SOLUSDC,11.461,201.99,413968388.97059,379449,Spot Only,208.55,177.24,152.1,3280719.76927,1301235.12653,2,False
FLOKIUSDC,7.628,0.00010611,4831156.86553506,89567,Spot Only,0.00011136,9.48e-05,116.0,34092.45711935,15781.787611475,2,False
EGLDUSDC,8.499,15.83,1865105.9772,7029,Spot Only,16.24,14.2,104.9,23845.656,11640.242549999999,2,False
LTCUSDC,5.359,121.3,10718242.06587,48742,Spot Only,123.67,112.41,94.9,35674.43741,18300.68318,2,False
TRUMPUSDC,5.351,8.86,8082485.10889,24445,Spot Only,9.02,8.21,93.0,20602.4248,10675.156035,2,True
NEIROUSDC,11.948,0.00039988,3013045.7358316,48732,Spot Only,0.00042485,0.0003431,77.8,26293.35686392,14785.649704970001,2,False
API3USDC,-0.402,1.4849,1918581.182039,12976,Spot Only,1.6,1.4364,76.0,18065.824819,10262.230258,2,True
ONDOUSDC,8.229,0.993,5099718.8785,26871,Spot Only,1.0217,0.8911,68.2,26991.65874,16045.851095,2,False
FETUSDC,4.103,0.685,4084032.5572,14255,Spot Only,0.712,0.636,66.5,22505.6256,13514.432400000002,2,False
MEMEUSDC,53.768,0.003775,12917260.019559,253613,Spot Only,0.004321,0.002416,51.6,425294.97737,280584.751708,2,False
