symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used,is_bullish,vema_multiplier,volume_ema_9,volume_ema_21,price_ema_9,price_ema_21
PENDLEUSDT,5.688,6.076,33913342.7083,285371,Spot Only,6.078,5.544,417.5,1146276.5681,221484.79752000002,5,True,4.218326045418198,400433.7663892668,271737.309007929,5.93822907935472,5.898130257137376
LRCUSDT,1.902,0.0911,2091724.7303,22333,Spot Only,0.0942,0.0874,273.5,141338.3696,37842.75238,5,True,4.014394204160175,56834.490203164656,35207.894992855705,0.09102894983641414,0.09121481640278667
PENDLEUSDC,5.727,6.074,6027485.6967,40322,Spot Only,6.074,5.544,329.0,195302.6244,45522.676400000004,5,True,3.9523917585734325,72856.4936959516,49413.78191479989,5.936323726065266,5.896328430737772
ATMUSDT,0.722,1.396,1388079.75738,12924,Spot Only,1.411,1.364,166.6,40736.67058,15281.788832,5,True,3.136663100941986,18156.7707688552,12987.263620299604,1.3905155953239887,1.3890124652241107
BTCUSDT,-0.679,114941.86,2357635707.9227285,2647777,Spot Only,117429.05,114609.0,124.3,57028801.3566875,25422984.13560652,5,True,2.73486821117288,28887702.016436756,20852486.09922232,115107.89544766511,115328.79036818023
TRUUSDT,3.077,0.0335,1793067.6308,16323,Spot Only,0.0346,0.0319,148.4,36707.2515,14777.147879999999,5,True,2.4342464796119097,17923.429614259647,15079.51302690277,0.03338495937129345,0.03349767308870716
BONKUSDC,1.205,2.268e-05,9854345.81163479,24193,Spot Only,2.395e-05,2.183e-05,149.9,130288.67209464,52133.071133674,5,True,2.3539022850684588,66408.21287688025,55350.076730500645,2.273656716527562e-05,2.2829026080311567e-05
OGUSDT,-0.122,13.108,4532260.8839,98055,Spot Only,13.317,12.666,133.3,106453.4569,45631.56738,5,True,2.2654314862833793,54202.49335939586,46990.36697624671,13.035701564511129,12.988608224826628
TIAUSDC,6.69,1.85,3025558.81822,14105,Spot Only,1.907,1.687,154.8,27885.20637,10944.761397999999,5,True,2.0515554913921314,14612.121488038665,13592.22623370418,1.8531117557152466,1.858303848893024
EIGENUSDC,0.422,1.427,2187412.80644,10311,Spot Only,1.527,1.375,114.0,28373.18859,13261.264850000001,5,True,2.0434824508503455,15900.776355511327,13884.72339373073,1.4253369621787113,1.4303261333476682
ATOMUSDT,6.878,4.864,18910685.51072,97203,Spot Only,4.882,4.456,156.0,244002.43492,95312.271076,5,True,1.928841181318423,137829.91928396458,126502.08699568346,4.848832010035519,4.838435717017848
EIGENUSDT,0.422,1.427,23289026.07729,92300,Spot Only,1.528,1.374,119.6,269074.75379,122554.03725400001,5,True,1.8063410591970757,158933.22374647786,148961.21218082955,1.4257463275546902,1.4306850052478275
LDOUSDT,2.661,1.5126,65942871.913671,501093,Spot Only,1.5787,1.406,129.6,456986.095988,199019.45903,5,True,1.6983958901955372,265029.6045190195,269069.2427048837,1.4974631565744128,1.4973574687027789
LQTYUSDT,-0.322,0.928,2352800.3833,28368,Spot Only,0.999,0.908,126.4,25361.0322,11202.9723,5,True,1.6696471119664051,15630.458404989276,15189.456513437368,0.9267410169030641,0.9336253002963188
ZECUSDT,-2.63,43.32,3942620.72555,20652,Spot Only,45.24,41.18,173.2,31166.9374,11408.738202,5,True,1.6641307933503977,15985.478589570226,18728.658543269634,43.32129485077872,43.36609002469262
ATOMUSDC,6.931,4.86,3550040.28967,24585,Spot Only,4.879,4.454,108.0,24367.71171,11712.478626,5,True,1.6094458874373576,15902.820071059952,15140.43553759954,4.847405474127311,4.836839204614887
