symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used
TRXUSDC,1.29,0.3613,17419681.91959,66420,Spot Only,0.3675,0.3532,302.9,266720.48148,66193.33665,4
VETUSDC,8.123,0.02529,1929627.338945,8696,Spot Only,0.02648,0.02294,288.3,39130.228142,10078.38832125,4
ALGOUSDC,6.283,0.2605,6492160.0965,39393,Spot Only,0.2696,0.2392,265.6,65289.6485,17859.54925,4
WIFUSDC,8.354,0.895,14404101.62481,42845,Spot Only,0.937,0.792,180.1,109891.85945,39234.7407525,4
MEMEUSDC,57.916,0.00385,12507896.529712,249949,Spot Only,0.004321,0.002416,144.2,456499.148965,186936.96067175,4
BONKUSDC,7.889,2.284e-05,12298583.10327937,31850,Spot Only,2.395e-05,2.042e-05,136.1,108065.99745902,45777.4787575375,4
SYRUPUSDC,8.729,0.4372,2831537.3409,26377,Spot Only,0.4416,0.3902,134.8,46430.0179,19770.670735,4
TIAUSDC,13.086,1.858,3985953.64735,17446,Spot Only,1.907,1.598,118.0,23639.52209,10845.5509025,4
DOGEUSDC,10.423,0.23615,62891683.2814,239703,Spot Only,0.24219,0.20824,75.7,256123.42524,145755.9638725,4
KERNELUSDC,8.147,0.2469,1701597.52313,11705,Spot Only,0.2527,0.2238,57.5,36773.31972,23347.478335,4
TAOUSDC,6.823,360.1,13047093.90364,46400,Spot Only,373.7,329.3,54.3,69406.74296,44995.3244025,4
SPKUSDC,-0.112,0.07117,2842804.524863,42179,Spot Only,0.0775,0.068776,53.8,25327.871841,16463.812152,4
